Account ID,Current Season Ticket Holder?,Has 2021 Season Tickets,Had 2019 Season Tickets,Had 2018 Season Tickets,Had 2017 Season Tickets
TWN1281,NO,0,0,1,0
TWN1299,NO,0,1,1,1
TWN1300120,NO,0,1,0,0
TWN1300362,Yes,1,1,1,1
TWN1300422,NO,0,1,0,0
TWN1300740,NO,0,0,0,0
TWN1301920,Yes,1,1,1,1
TWN1302400,Yes,1,1,1,1
TWN1302820,NO,0,0,1,0
TWN1303240,NO,0,0,1,0
TWN1303761,NO,0,0,1,1
TWN1303781,NO,0,0,0,0
TWN1305080,NO,0,0,1,1
TWN1305103,NO,0,0,0,1
TWN1306620,NO,0,0,1,0
TWN1306780,NO,0,0,1,1
TWN1306822,NO,0,0,1,0
TWN1307081,NO,0,0,1,1
TWN1307903,NO,0,0,0,0
TWN1308302,NO,0,0,0,0
TWN1309121,Yes,1,1,1,1
TWN1309503,NO,0,1,1,0
TWN1309841,Yes,1,0,0,0
TWN1310263,NO,0,0,1,0
TWN1312383,Yes,1,1,1,1
TWN1312463,NO,0,0,1,1
TWN1312473,NO,0,1,0,0
TWN1312642,NO,0,0,0,1
TWN1313303,NO,0,0,1,0
TWN1313442,Yes,1,1,0,0
TWN1313702,Yes,1,1,1,1
TWN1314382,NO,0,0,1,1
TWN1314802,NO,0,0,0,0
TWN1314962,Yes,1,0,0,0
TWN1315249,Yes,1,1,1,1
TWN1315502,NO,0,0,1,0
TWN1315742,Yes,1,1,1,1
TWN1315822,NO,0,0,1,0
TWN1315902,Yes,1,1,1,1
TWN1316602,NO,0,0,0,1
TWN1316608,Yes,1,0,0,0
TWN1317462,NO,0,0,0,0
TWN1318923,NO,0,0,0,0
TWN1319022,NO,0,0,1,1
TWN1319082,NO,0,0,0,0
TWN1319702,NO,0,1,0,0
TWN1320282,NO,0,0,1,0
TWN1323664,NO,0,0,0,1
TWN1324002,Yes,1,1,0,0
TWN1324662,NO,0,0,1,1
TWN1324803,Yes,1,1,1,1
TWN1324944,Yes,1,0,0,0
TWN1325302,NO,0,0,1,1
TWN1325662,Yes,1,0,0,0
TWN1326782,NO,0,0,0,1
TWN1327022,Yes,1,1,1,1
TWN1327243,Yes,1,0,0,0
TWN1327623,Yes,1,1,1,1
TWN1327962,Yes,1,0,0,0
TWN1328282,Yes,1,1,0,0
TWN1328885,Yes,1,1,1,1
TWN1328982,NO,0,0,0,0
TWN1329142,NO,0,1,0,0
TWN1330142,NO,0,0,1,1
TWN1330222,NO,0,0,0,0
TWN133039,Yes,1,0,0,0
TWN1330785,Yes,1,1,1,1
TWN1330903,NO,0,0,0,0
TWN1331142,NO,0,0,0,0
TWN1332242,Yes,1,1,0,0
TWN1332422,Yes,1,1,0,0
TWN1332862,Yes,1,1,1,1
TWN1333426,Yes,1,0,0,0
TWN1333465,Yes,1,1,1,1
TWN1333542,NO,0,0,1,1
TWN1333564,Yes,1,1,0,0
TWN1333603,NO,0,0,0,1
TWN1333743,Yes,1,1,1,1
TWN1336122,Yes,1,0,0,0
TWN1337502,NO,0,1,0,0
TWN1337572,NO,0,1,0,0
TWN1338024,NO,0,0,0,0
TWN1338102,Yes,1,1,1,1
TWN1338124,NO,0,0,0,0
TWN1338562,Yes,1,1,1,1
TWN1338583,NO,0,0,1,0
TWN1338665,NO,0,0,0,1
TWN1338687,Yes,1,0,0,0
TWN1340062,NO,0,0,0,0
TWN1340642,NO,0,0,0,0
TWN1341803,NO,0,0,0,0
TWN1342162,Yes,1,0,0,0
TWN1342484,Yes,1,1,1,1
TWN1343,NO,0,0,1,0
TWN1343262,NO,0,1,0,0
TWN1343267,Yes,1,1,0,0
TWN1345262,NO,0,1,0,0
TWN1347142,NO,0,1,0,0
TWN1347222,Yes,1,1,0,0
TWN1347282,NO,0,1,0,0
TWN1348082,Yes,1,1,1,1
TWN1348342,NO,0,0,0,0
TWN1349682,NO,0,0,0,0
TWN1349782,NO,0,0,0,0
TWN1349963,Yes,1,1,1,1
TWN1350042,NO,0,0,1,1
TWN1350622,NO,0,0,0,0
TWN1350642,Yes,1,1,1,1
TWN1352,NO,0,0,0,1
TWN1353942,NO,0,0,0,0
TWN1354402,Yes,1,1,1,1
TWN1354502,NO,0,1,0,0
TWN1355,Yes,1,1,1,1
TWN1355322,Yes,1,1,1,1
TWN1355422,NO,0,1,1,0
TWN1356083,NO,0,0,1,1
TWN1358204,NO,0,1,1,0
TWN1358302,NO,0,0,0,0
TWN1358503,NO,0,0,0,1
TWN1359263,NO,0,0,1,1
TWN1359883,Yes,1,0,0,0
TWN1359902,NO,0,0,1,1
TWN1360485,NO,0,0,0,1
TWN1360502,Yes,1,0,0,0
TWN1361104,NO,0,0,0,0
TWN1361442,NO,0,1,1,0
TWN1361583,NO,0,0,0,1
TWN1362343,Yes,1,0,0,0
TWN1364445,Yes,1,0,0,0
TWN1365250,NO,0,0,0,0
TWN1365465,Yes,1,0,0,0
TWN1366786,NO,0,0,1,1
TWN1368223,Yes,1,1,0,0
TWN1368403,Yes,1,1,1,1
TWN1369642,NO,0,0,1,1
TWN1369882,Yes,1,0,0,0
TWN1369983,Yes,1,1,1,1
TWN1370569,NO,0,0,0,0
TWN1370763,NO,0,0,1,0
TWN1370784,NO,0,1,1,0
TWN1371025,NO,0,0,0,0
TWN1371122,NO,0,1,0,0
TWN1371344,Yes,1,1,1,1
TWN1371687,Yes,1,1,1,1
TWN1371688,NO,0,0,0,1
TWN1371983,Yes,1,0,0,0
TWN1372262,Yes,1,0,0,0
TWN1372322,Yes,1,0,0,0
TWN1372565,NO,0,0,1,0
TWN1373263,Yes,1,1,1,1
